Test_ID,Category,Gender,WER,CER,Original_Text,Whisper_Transcription
HIN_11,english_loan_words,Male,0.857,0.465,आजकल के डॉक्टर और इंजीनियर मॉडर्न स्कूल के प्रोजेक्ट पर काम कर रहे हैं।,आपस्तम्ती दोक्तर और इंजी मदन श्कुन के पूजेक्ट के धान पर रहें।
HIN_12,heavy_geminates,Male,0.615,0.239,बिल्ली ने चम्मच से मक्खन चाटा और छप्पर पर कूदकर गुब्बारा फोड़ दिया।,बिल्ली ने चम्मत से मकं चाता और चपर पर कुदकर गुदारा फोर बिया.
HIN_13,ha_placement,Male,0.231,0.075,हम कल सुबह शहर के उस बड़े महल की वजह से वहाँ ठहरेंगे।,हम कल सुबे शहर के उस बड़े महल की वजह से वहां थारेंगे।
HIN_14,vowel_hiatus,Male,0.786,0.453,"भैया, कौआ उड़ गया, अब आइए और मुझे बताइए कि मैं वहाँ कैसे जाऊँगा?",अब आइये और मुझे बता ये कि मैं वहां के से जाउंगा?
HIN_15,sanskrit_tatsama,Male,0.533,0.298,इस उज्ज्वल और महत्त्वपूर्ण कार्य के लिए प्राचीन संस्कृति और प्रौद्योगिकी का ज्ञान अनिवार्य है।,इस उजुल और महत्तिपून कारे के लिए प्राचीन संसक्रिटी और प्रॉड़ुवी की का ग्यान आनिवारी है।
HIN_16,prosody_and_punctuation,Male,0.588,0.203,"वाह! तुमने तो कमाल कर दिया; लेकिन, क्या तुम्हें सच में लगता है कि यह मुमकिन है?",वाद तुमनी तो कमाल कर दिया लिकिन क्या तुमी सचमी लगता है कि ये मुम्किन है।
HIN_17,perso_arabic_nukta,Male,0.786,0.368,ख़ौफ़नाक तूफ़ान के बाज़ू में खड़े फ़क़ीर ने क़र्ज़ माफ़ करने की गुज़ारिश की।,तुफ ताप ते फाग के बाजू मैं खरे फुचीट ने कस पाफ करने की गजारइश की।
HIN_18,number_normalization,Male,0.643,0.338,सेठ जी ने पचहत्तर प्रतिशत मुनाफ़े के साथ कुल चौवन हज़ार रुपये नकद कमाए।,सेच जी ने 75% मुनाफे के साथ कुछ जौवन हाजार रूपे नकद कमाएं
HIN_19,consonant_clusters_r,Male,1.0,0.792,"ट्रेन स्टेशन से प्रस्थान कर चुकी है, कृपया अपने ट्रक को क्रॉसिंग से दूर रखें।",जड़ोई तो आक्ती वाशाली लेंगर पेस्ती आकी लोब मेकिंग वा सम्ठीं
HIN_20,alliteration_rapid,Male,0.533,0.284,चंदू के चाचा ने चाँदी के चम्मच से चटपटी चटनी चखाई और चंपारण चले गए।,चंदू के चाइ चानी चानी के चम्मच से चट्पटी चत्नी चट्टाइ चाखाई और चंपरं चले गए।
HIN_01,vowels_and_consonants,Female,0.467,0.217,एक आम आदमी और औरत इमली के पेड़ के नीचे बैठकर ऊन बुन रहे हैं।,एक आम आग्मी और औरतम्ली के पेर के निज़े बैटकार उन बुन रहे हैं।
HIN_02,velars_gutturals,Female,0.611,0.234,"कमल और काव्या ने खेत से कद्दू उखाड़ा, फिर गरम घी का घड़ा उठाकर घर की ओर भागे।","कमल और काद्या ने खेथ से कदू खारा, तर गरम खी कध़ा उठाकर खर्की वॉर भागे।"
HIN_03,retroflexes,Female,0.812,0.378,षट्कोण के अंदर रखे ढक्कन और डमरू को देखकर ठग टमाटर टोकरी में डालकर डर गया।,शिफ्पें के अमदर रखे गहकन और दम्रो को बेक कर किल्ट तमाटर पोक्री में डाल पर दर गया
HIN_04,palatals_and_nasals,Female,0.545,0.265,चंचल छतरी लेकर झमाझम बारिश में जंगल की ओर चली गई।,चुछ्री लेक और चमाज़म बाईश में जंडल की ओर चली गई।
HIN_05,labials_and_aspirated,Female,0.615,0.214,भालू ने भारी पेड़ पर बैठकर मीठा फल खाया और पानी पी लिया।,भाईूने भारी तेर पर बैटकर अमीथा फंकाया और पानी ती लिया।
HIN_06,loan_words_nukta,Female,0.583,0.255,"ज़रा फ़िक्र मत करो, क़लम से ख़त लिखकर ग़ज़ल का मज़ा लो।","ज़रा फिकर मात करो, कलम से खात्लियक कर्काजल का मजा लो।"
HIN_07,complex_conjuncts,Female,0.667,0.258,"ज्ञानी ऋषि और श्रमिक ने क्षमा, विज्ञान और त्रिशूल का महत्व समझाया।","ग्यानी रिशी और स्रमिक ने शमा, विज्यान और द्रिशूल का महत्रो सम्जाया."
HIN_08,dentals_and_visarga,Female,0.643,0.328,"दुःख मत कर, स्वतः ही नया धन प्राप्त होगा और धर्म की जीत होगी।",दूख मपकर्व सोटह ही न्या भन पान्प्लाट होगा और धर्म की जीद होग।
HIN_09,flaps_and_chandrabindu,Female,0.5,0.242,"गाँव में पाँच ऊँट, एक साँड़, और बड़ी सूँड वाले बूढ़े हाथी खड़े थे।","गाउ में पाच उन्त, एक साड और बड़ी सोंड वाले बूरे हाति खड़े थे।"
HIN_10,approximants_and_sibilants,Female,0.357,0.114,यश और श्वेता बहुत विश्वास के साथ विद्यालय में योग और व्यायाम सीखने गए।,यश्वत और शौवता बहुत विश्वास के साथ विद्याले में योग और व्यायाम सीकने गई।
HIN_11,english_loan_words,Female,0.357,0.197,आजकल के डॉक्टर और इंजीनियर मॉडर्न स्कूल के प्रोजेक्ट पर काम कर रहे हैं।,आजकल के दोक्तर और इंजिनेड मौडन्स्कुल के प्रोजेक्ट पर कांग कर रहे हैं।
HIN_12,heavy_geminates,Female,0.923,0.254,बिल्ली ने चम्मच से मक्खन चाटा और छप्पर पर कूदकर गुब्बारा फोड़ दिया।,देलीने चम्मत से मक्छाटा और चप पर पर कूट कर गूब बारा फोड़ दिया
HIN_13,ha_placement,Female,0.385,0.151,हम कल सुबह शहर के उस बड़े महल की वजह से वहाँ ठहरेंगे।,हम काँ सुबा शहर के उस बड़े मेहर की वजह से वहां थारेंगे।
HIN_14,vowel_hiatus,Female,0.786,0.469,"भैया, कौआ उड़ गया, अब आइए और मुझे बताइए कि मैं वहाँ कैसे जाऊँगा?",अब आइया वो आवर बहाँ अब आइया वो और मुझे बताइए वे में वा कैसे डाउगां।
HIN_15,sanskrit_tatsama,Female,0.6,0.33,इस उज्ज्वल और महत्त्वपूर्ण कार्य के लिए प्राचीन संस्कृति और प्रौद्योगिकी का ज्ञान अनिवार्य है।,इस उज्वल और नातो भोर नकारीय के लिये प्राचीन संस्कृडी और पुरुडियुदी का ग्याना निवारिय है।
HIN_16,prosody_and_punctuation,Female,0.529,0.241,"वाह! तुमने तो कमाल कर दिया; लेकिन, क्या तुम्हें सच में लगता है कि यह मुमकिन है?",पाँ तुमने तो कमार कर दी हैं लेकिन क्या तुम्में सच में लगता है कि ये मुद्कीने
HIN_17,perso_arabic_nukta,Female,0.714,0.276,ख़ौफ़नाक तूफ़ान के बाज़ू में खड़े फ़क़ीर ने क़र्ज़ माफ़ करने की गुज़ारिश की।,हुफ नाक तूफान के बाजू में खड़े फक्सीड में कव्ज माफ करने की बुसारश की
HIN_18,number_normalization,Female,0.857,0.535,सेठ जी ने पचहत्तर प्रतिशत मुनाफ़े के साथ कुल चौवन हज़ार रुपये नकद कमाए।,"सेजीने 75% मुनाफे के साथ कोई 54,000 अर्पे नदत तमाइ।"
HIN_19,consonant_clusters_r,Female,0.6,0.273,"ट्रेन स्टेशन से प्रस्थान कर चुकी है, कृपया अपने ट्रक को क्रॉसिंग से दूर रखें।","तेना इस्टेशम से प्रइस्थान का चकी है, क्रिप्या अपने इक ट्रक को प्रासिंग से दूर रकी।"
HIN_20,alliteration_rapid,Female,0.333,0.149,चंदू के चाचा ने चाँदी के चम्मच से चटपटी चटनी चखाई और चंपारण चले गए।,चंदू के चाचा ने चांगी के चम्मच से चट्पती चड्नी चखाई और चंपारं चले रे.
