Test_ID,Category,Gender,WER,CER,Original_Text,Whisper_Transcription
HIN_11,english_loan_words,Female,0.786,0.437,आजकल के डॉक्टर और इंजीनियर मॉडर्न स्कूल के प्रोजेक्ट पर काम कर रहे हैं।,आजकाल के डोक्तर और इंजिनेर मौरेन इस्कुल के पढ़ाइने कराख खराजे नॉ
HIN_12,heavy_geminates,Female,0.769,0.433,बिल्ली ने चम्मच से मक्खन चाटा और छप्पर पर कूदकर गुब्बारा फोड़ दिया।,बिली ने चम्मत से मुखं चटा और चपर पार कुखर गृर पॉर्वेस।
HIN_13,ha_placement,Female,0.846,0.509,हम कल सुबह शहर के उस बड़े महल की वजह से वहाँ ठहरेंगे।,"अब कौल सुबा हैं, शहर के वोस बड़े महल के विकिद रिया लूए पने गे।"
HIN_14,vowel_hiatus,Female,1.0,0.828,"भैया, कौआ उड़ गया, अब आइए और मुझे बताइए कि मैं वहाँ कैसे जाऊँगा?",भईया कौवा उल्गाया
HIN_15,sanskrit_tatsama,Female,1.133,0.713,इस उज्ज्वल और महत्त्वपूर्ण कार्य के लिए प्राचीन संस्कृति और प्रौद्योगिकी का ज्ञान अनिवार्य है।,इस उज्वल बर्मात बौर्मलश्वन पोल कार लिए रही हैं। इर ये पराचीन संस्कृती और प्राजियरी त्यान्प्रिजन प्रियम्ल रही रही हैं।
HIN_16,prosody_and_punctuation,Female,0.765,0.38,"वाह! तुमने तो कमाल कर दिया; लेकिन, क्या तुम्हें सच में लगता है कि यह मुमकिन है?",वाँ! तुमने तो कमार कर दिया! लेकिन्कुने सुसमे रिज़रते यह मुल्किन है!
HIN_17,perso_arabic_nukta,Female,0.857,0.592,ख़ौफ़नाक तूफ़ान के बाज़ू में खड़े फ़क़ीर ने क़र्ज़ माफ़ करने की गुज़ारिश की।,खोफ़ाथ तूफान के माजिप फरे खेरे तेल ने टेल बाए तेल ने टेल बाए।
HIN_18,number_normalization,Female,0.857,0.437,सेठ जी ने पचहत्तर प्रतिशत मुनाफ़े के साथ कुल चौवन हज़ार रुपये नकद कमाए।,सेक जी नेपचलतर परतिसत मुनाफे के साक कूल चौनें स्वाइन लिए योंधर।
HIN_19,consonant_clusters_r,Female,0.8,0.558,"ट्रेन स्टेशन से प्रस्थान कर चुकी है, कृपया अपने ट्रक को क्रॉसिंग से दूर रखें।",ट्रेन टेजनान्द से प्रसान कर छुकी हैं। रेप्रिप्युद रेडिच्ट्रेन रेडिच्ट्रेन।
HIN_20,alliteration_rapid,Female,0.533,0.209,चंदू के चाचा ने चाँदी के चम्मच से चटपटी चटनी चखाई और चंपारण चले गए।,चंदू के चाचाने चानी के चम्मस से चर्पती चत्नी च्छाइ और चंपारण चले गये।
HIN_01,vowels_and_consonants,Male,1.0,0.95,एक आम आदमी और औरत इमली के पेड़ के नीचे बैठकर ऊन बुन रहे हैं।,इप इप
HIN_02,velars_gutturals,Male,1.0,0.675,"कमल और काव्या ने खेत से कद्दू उखाड़ा, फिर गरम घी का घड़ा उठाकर घर की ओर भागे।",कमाल काँज के खर्म खाडू सिव कर्म गड़ खर्म खाडू
HIN_03,retroflexes,Male,1.0,0.784,षट्कोण के अंदर रखे ढक्कन और डमरू को देखकर ठग टमाटर टोकरी में डालकर डर गया।,श्र्कोड रखट पुत चाहिंग रखट बड़ भार्ट।
HIN_04,palatals_and_nasals,Male,1.0,0.51,चंचल छतरी लेकर झमाझम बारिश में जंगल की ओर चली गई।,शंचल चत्री लेकर्षमाजम वारिश्मं गणद्री उड़िश यही वेइ।
HIN_05,labials_and_aspirated,Male,1.0,0.786,भालू ने भारी पेड़ पर बैठकर मीठा फल खाया और पानी पी लिया।,बारी पेट ब्रेट भीटा
HIN_06,loan_words_nukta,Male,1.0,0.964,"ज़रा फ़िक्र मत करो, क़लम से ख़त लिखकर ग़ज़ल का मज़ा लो।",ज़ड़ो फिकर प्रवर्षण रिश्ट। खाल फिकर प्रवर्षण तागड़ रिड़े तिनाल लिख्म बारे।
HIN_07,complex_conjuncts,Male,0.917,0.591,"ज्ञानी ऋषि और श्रमिक ने क्षमा, विज्ञान और त्रिशूल का महत्व समझाया।",ज्ञानी रशी और रसमी निन जिमइण विज्ञिन रज़ार साम दुजे निन निन बेर।
HIN_08,dentals_and_visarga,Male,0.857,0.574,"दुःख मत कर, स्वतः ही नया धन प्राप्त होगा और धर्म की जीत होगी।",दुक मत कर सुताहाई नाय धन रात्पर्वर वर्ण ने किसी तियत
HIN_09,flaps_and_chandrabindu,Male,1.0,1.0,"गाँव में पाँच ऊँट, एक साँड़, और बड़ी सूँड वाले बूढ़े हाथी खड़े थे।",
HIN_10,approximants_and_sibilants,Male,1.0,0.857,यश और श्वेता बहुत विश्वास के साथ विद्यालय में योग और व्यायाम सीखने गए।,जैस्ट युष्ट युष्ट युष्ट युष्ट
HIN_11,english_loan_words,Male,0.929,0.761,आजकल के डॉक्टर और इंजीनियर मॉडर्न स्कूल के प्रोजेक्ट पर काम कर रहे हैं।,आजकब स्फ़िट के धें आथरीरे. कम्से हो描 Jazz
HIN_12,heavy_geminates,Male,0.846,0.731,बिल्ली ने चम्मच से मक्खन चाटा और छप्पर पर कूदकर गुब्बारा फोड़ दिया।,बिल्ली ने जब मसे बाग बन।
HIN_13,ha_placement,Male,1.0,0.906,हम कल सुबह शहर के उस बड़े महल की वजह से वहाँ ठहरेंगे।,आंकुछ वेशेइष्टि
HIN_14,vowel_hiatus,Male,1.0,1.0,"भैया, कौआ उड़ गया, अब आइए और मुझे बताइए कि मैं वहाँ कैसे जाऊँगा?",
HIN_15,sanskrit_tatsama,Male,1.0,0.915,इस उज्ज्वल और महत्त्वपूर्ण कार्य के लिए प्राचीन संस्कृति और प्रौद्योगिकी का ज्ञान अनिवार्य है।,cannot do anything for us trained people It is otherwise、 How to treat but ill-gotta
HIN_16,prosody_and_punctuation,Male,1.0,1.0,"वाह! तुमने तो कमाल कर दिया; लेकिन, क्या तुम्हें सच में लगता है कि यह मुमकिन है?",
HIN_17,perso_arabic_nukta,Male,0.929,0.553,ख़ौफ़नाक तूफ़ान के बाज़ू में खड़े फ़क़ीर ने क़र्ज़ माफ़ करने की गुज़ारिश की।,खुफ नाक तूफान के भाजू में करे पती रहे गुड।
HIN_18,number_normalization,Male,1.0,0.817,सेठ जी ने पचहत्तर प्रतिशत मुनाफ़े के साथ कुल चौवन हज़ार रुपये नकद कमाए।,तुइ जिन्डि पजिन्डि पर पूर्पूर्ण।
HIN_19,consonant_clusters_r,Male,0.733,0.506,"ट्रेन स्टेशन से प्रस्थान कर चुकी है, कृपया अपने ट्रक को क्रॉसिंग से दूर रखें।",ट्रेन स्टेसं से प्रस्थान कर चुकि हैं गूर्प वेट।
HIN_20,alliteration_rapid,Male,1.0,1.0,चंदू के चाचा ने चाँदी के चम्मच से चटपटी चटनी चखाई और चंपारण चले गए।,
