Test_ID,Category,Gender,WER,CER,Original_Text,Whisper_Transcription
HIN_17,perso_arabic_nukta,Male,0.643,0.224,ख़ौफ़नाक तूफ़ान के बाज़ू में खड़े फ़क़ीर ने क़र्ज़ माफ़ करने की गुज़ारिश की।,खौवनाक तूफान के बाजू में कड़े फकीर ने कज माव करने की गुजारश की
HIN_18,number_normalization,Male,0.643,0.282,सेठ जी ने पचहत्तर प्रतिशत मुनाफ़े के साथ कुल चौवन हज़ार रुपये नकद कमाए।,सेच जी ने पचाट प्रतेश्यत मुनाफे के साथ कुल चौन हजारोपे नक्टत कमाई।
HIN_19,consonant_clusters_r,Male,0.6,0.195,"ट्रेन स्टेशन से प्रस्थान कर चुकी है, कृपया अपने ट्रक को क्रॉसिंग से दूर रखें।",च्रें स्टेशन से परस्थान कर जुकी है घुपे आप ने ट्रक को प्रॉसिंग से दूर रके
HIN_20,alliteration_rapid,Male,0.6,0.179,चंदू के चाचा ने चाँदी के चम्मच से चटपटी चटनी चखाई और चंपारण चले गए।,चन्दू के चाचाने चांदी के चम्मच से चट्पती चट्नी चक्हाई और चंपारन चले गय।
HIN_01,vowels_and_consonants,Female,0.267,0.083,एक आम आदमी और औरत इमली के पेड़ के नीचे बैठकर ऊन बुन रहे हैं।,एक आम आदमी और औरत इम्ली के पेर के नीचे बैठकर उन गुन रहे हैं।
HIN_02,velars_gutturals,Female,0.389,0.117,"कमल और काव्या ने खेत से कद्दू उखाड़ा, फिर गरम घी का घड़ा उठाकर घर की ओर भागे।",कमल और काव्या ने खेट से कदू उखाडा फिल गरम गी का घड़ा उठाकर घर की और भागे
HIN_03,retroflexes,Female,0.688,0.311,षट्कोण के अंदर रखे ढक्कन और डमरू को देखकर ठग टमाटर टोकरी में डालकर डर गया।,Shutcorn के अंदर रक्ष दखकन और दम्रू को देकर थक तमाटर तोकरी में डाल कर दर गया।
HIN_04,palatals_and_nasals,Female,0.636,0.204,चंचल छतरी लेकर झमाझम बारिश में जंगल की ओर चली गई।,चंचर चट्री लेकर जमा जम भारिश में जवंगल की और चली गई।
HIN_05,labials_and_aspirated,Female,0.385,0.143,भालू ने भारी पेड़ पर बैठकर मीठा फल खाया और पानी पी लिया।,मिरालो ने भारी पेड पर बैटकर मीथा फल खाया और पानी पी लिया
HIN_06,loan_words_nukta,Female,0.75,0.2,"ज़रा फ़िक्र मत करो, क़लम से ख़त लिखकर ग़ज़ल का मज़ा लो।",जराफ फिकर मत करो कलम से खत लिख कर गजल का मजा लो।
HIN_07,complex_conjuncts,Female,0.417,0.182,"ज्ञानी ऋषि और श्रमिक ने क्षमा, विज्ञान और त्रिशूल का महत्व समझाया।","यानी रुषी और शमिक ने ख्शमा, विज्ञान और त्रिशूल का महत्व सम्झाया"
HIN_08,dentals_and_visarga,Female,0.286,0.115,"दुःख मत कर, स्वतः ही नया धन प्राप्त होगा और धर्म की जीत होगी।","दुक्ह मत कर, स्वतय ही नया दहन प्राप्त होगा और धर्म की जीत होगी."
HIN_09,flaps_and_chandrabindu,Female,0.714,0.348,"गाँव में पाँच ऊँट, एक साँड़, और बड़ी सूँड वाले बूढ़े हाथी खड़े थे।","गाव में पाज उन्त, एक सान्ड और बडी सुन्ड वाले, गुडे, हाती खडे थे।"
HIN_10,approximants_and_sibilants,Female,0.143,0.071,यश और श्वेता बहुत विश्वास के साथ विद्यालय में योग और व्यायाम सीखने गए।,यश और श्वेता बहुत विश्वास के साथ विध्यले में योग और व्यायाम सीखने गये।
HIN_11,english_loan_words,Female,0.429,0.211,आजकल के डॉक्टर और इंजीनियर मॉडर्न स्कूल के प्रोजेक्ट पर काम कर रहे हैं।,आजकल के दोप्टर और इंजिनियर मौडन अपने प्रोजेक्ट पर पाम कर रहे हैं।
HIN_12,heavy_geminates,Female,0.615,0.149,बिल्ली ने चम्मच से मक्खन चाटा और छप्पर पर कूदकर गुब्बारा फोड़ दिया।,विल्ली ने चम्मच से मक्खं चाटा और चपर पर कूद कर गुबारा फोड दिया
HIN_13,ha_placement,Female,0.308,0.132,हम कल सुबह शहर के उस बड़े महल की वजह से वहाँ ठहरेंगे।,या हम कल सुबा शहर के उस बड़े महल की वजह से वहा थहरेंगे?
HIN_14,vowel_hiatus,Female,0.643,0.359,"भैया, कौआ उड़ गया, अब आइए और मुझे बताइए कि मैं वहाँ कैसे जाऊँगा?",बहिया कवा अदगया अब आईये और मुझ्च बताईये कि मैं वहां कैसे जाउंगा
HIN_15,sanskrit_tatsama,Female,1.0,0.83,इस उज्ज्वल और महत्त्वपूर्ण कार्य के लिए प्राचीन संस्कृति और प्रौद्योगिकी का ज्ञान अनिवार्य है।,इजाइ आइफ सीमे निराइत अमाँ साइ अपप बो नौर आटी.
HIN_16,prosody_and_punctuation,Female,0.647,0.278,"वाह! तुमने तो कमाल कर दिया; लेकिन, क्या तुम्हें सच में लगता है कि यह मुमकिन है?",वाः। सुन तो पया। तुमने तो कमाल कर दिया लेकिन क्या तुमहे सच्मे लगता है कि यह मुम्किन है।
HIN_17,perso_arabic_nukta,Female,0.571,0.197,ख़ौफ़नाक तूफ़ान के बाज़ू में खड़े फ़क़ीर ने क़र्ज़ माफ़ करने की गुज़ारिश की।,"खौफनाक तूर्फान के बाजू में खड़े फकीर ने करस, माफ करने की गुजारिश की"
HIN_18,number_normalization,Female,0.714,0.423,सेठ जी ने पचहत्तर प्रतिशत मुनाफ़े के साथ कुल चौवन हज़ार रुपये नकद कमाए।,"वेआ सेट जी ने 75 प्रतीशत् मुनाफे के साथ कुल 54,000 रूपे नगदक कमाए"
HIN_19,consonant_clusters_r,Female,0.4,0.195,"ट्रेन स्टेशन से प्रस्थान कर चुकी है, कृपया अपने ट्रक को क्रॉसिंग से दूर रखें।",लिएन्ड अस्टेशन से प्रस्थान कर चुकी है कुप्या अपने ट्रक को खुरॉसिंग से दूर रके
HIN_20,alliteration_rapid,Female,0.4,0.149,चंदू के चाचा ने चाँदी के चम्मच से चटपटी चटनी चखाई और चंपारण चले गए।,चन्दू के चाचा ने चाहणी के चम्वज से चट्पती चट्नी चखाई और चंपारन चले गए।
