Sample Index,Original Text,WER,Transcribed Text,SNR (dB),S-SIM
10,पूजा कमनिकेशन श्री महालक्ष्मी टूरिस सर्विसेस सतपुड़ा ट्रेवल्स,0.875,पुजा कम्निकेशन्श्री महलक्षमी तूरिस्स सर्विसे सत्पुडा ट्रेवल्स,76.54,0.052
11,भधावर ट्रेवल्स मिस्ट्री ट्रेवल्स विविनधा ट्रेवल्स,0.5,बदावर ट्रेवल्स मिस्त्री ट्रेवल्स विविन्धा ट्रेवल्स,77.23,0.161
12,एन बहुत सारे ऐसे कई भी सर्विस प्रोवॉइडर्स है जो जो हम यहाँ से वहाँ घूमने में पूरे मधप्र देश में पूरे जितनी भी टूरीस वाली जगह है जहाँ हमें देखना चाहिए वहाँ पे वो हमें दिखाते है,0.263,"इन बहुत सारे ऐसे कई भी सर्विस प्रोवाइडर्स है, जो जो हम यहां से वहां घूमने में पूरे मधपर देश में पूरे जितनी भी तूरीस वाली जगह है, जहां हमें देखना चाहिये वहां पे वो हमें दिखाते हैं.",73.06,0.089
13,और साथ में अगर हम भाषाओं की बात करें तो इंग्लिश और हिन्दी उनको दोनों आती है लेकिन मुख्य रूप से वो हिन्दी मे बात करते है और कई ऐसे भी सर्विस प्रोवाइडर है जो बुन्देलखण्डी भाषा का प्रयोग करते है क्योंकि हमारे यहाँ पे बुन्देलखण्ड की भाषा बहुत,0.367,और साथमे अगर हम भाशाओ की बात करे तो इंग्लिश और हिंडि उनको दोनो आती है लेकिन मुक्यरूप से वो हिंडि में बात करते है और कई ऐसे भी सर्विस प्रोवाईडर है जो बुन्देल्खंडी भाशा का प्रेख करते है क्योंकि हमारे यहां पे बुन्देल्खंड की भाशा बहुत।,72.18,0.1
14,प्रयोग मे लाई जाती है और अगर हम प्रोपर भोपाल की बात करें तो भोपाल में लोग भोपाली भाषा बोलते है जो हिन्दी और इंग्लिश और बुन्देलखण्डी का मिक्सअप होती है तो वो उस तरके की भाषा का प्रयोग करते है,0.293,"प्रेओग में लाई जाती है, और अगर हम प्रोपर भोपाल की बात करें, तो भोपाल में लोग भोपाली भाशा बोलते हैं, जो हिंडी और इंग्लिश और बुंदेल खंडी का मिकस अप होती है, तो वो उस तरके की भाशा का प्रेओग करते हैं.",73.02,0.129
15,तो हाँ कह सकते है कि उन्हें हिन्दी इंग्लिश बुन्देलखण्डी और भोपाली जो खुद की बनाई हुई ये भाषा है उन सभी भाषाओं का प्रयोग करते है,0.259,तो हां कह सकते है कि उन्हें हिंदी इंग्लिश बुंदेलक्हंडी और भोपाली जो खुद की बनाई हुई ये भाशा है उन सभी भाशां का प्रेवग करते हैं.,74.16,0.159
16,कम पदार्थ में ओ बन सकती है मतलब उसको मतलब बनाने के लिए ज़्यादा समय की जरूरत नहीं है कि ज़्यादा पदार्थ हो बस ज़्यादा सामानों की जरूरत नहीं है इसीलिए मैं खिचड़ी बना लेती हूँ और खिचड़ी तो मैंने ज़्यादातर ही बनाती हूँ क्योंकि ज़्यादातर मेरे यही परिस्थिति है,1.0,delivering cuffGUILTY from t to to coller HUD patreon.com underwater weather drier TPI TPIised to real protection weight so percent,71.38,0.229
17,अगर आप एक महीने में एक सप्ताह में अगर आप दो बार तीन बार एक महीने में खाते हो खिचड़ी तो आप निरोगी हो मतलब आपकी जो पेट हे ओ थोड़ा निरोगी ओ शांत रहेगा ओ ज़्यादा आपकी पेट मतलब खराब नही होगी इसे इसिलिए तो मैं खिचड़ी ज़्यादातर,0.306,"अगर आप एक महिने में, एक सपताह में, अगर आप दू बार तीन बार एक महिने में खाते हो खिच्री तो, आप निरोगी हो मतलब आपकी जो पेट है उथोरा निरोगी उस शांत रहेगा उस ज्यादा आपकी पेट मतलब खराब नहीं होगी इसे इसलिये तो मैं खिच्री �",71.13,0.191
18,आज भारत के सामने कई सारे ऐसे सबसे गम्भीर पर्यावरणीय मुद्दे हैं उनमें से कुछ जैसे वायु ओर मृदा प्रदूषण,0.45,"आज भारत के सामने कई सारे ऐसे सब से गमभीर पर्यावर्नी मुद्धे हैं, उनमें से कुछ जैसे वायू और मृड़ा प्रदूशन।",75.21,0.141
19,कई तरीके से बदले हैं इनमें पूरे साल के दौरान ऋतुओं में भी गर्मी में बारिश में सर्दी में कई बदलाव देखने को मिलते हें जैसे जैसे मौसम चेंज होता है वैसे वैसे प्राकतिक दृश्य भी चेंज होता जाता है,0.125,"कई तरीके से बदले हैं, इनमें पूरे साल के दौरान रित्वों में भी गर्मी में, बारिश में सर्दी में कई बदलाव देखने को मिलते हैं, जैसे जैसे मोसम चेंज होता है, वैसे वैसे प्राक्तिक द्रिश्य भी चेंज होता जाता है.",72.35,0.207
